,pl_name,# name,ra_x,ra_y,dec_x,dec_y,st_vj,mag_v,pl_bmassj,mass_sini,pl_radj,radius,pl_orbper,orbital_period,pl_orbsmax,semi_major_axis,pl_orbeccen,eccentricity,pl_def_reflink,pl_disc_reflink,checked_coords,min_distance
0,24boob,24boob,217.15754700000002,217.162500013,49.844852,49.845000026,5.58,5.6,0.91,0.91,,,30.3506,30.3506,0.19,0.19,0.042,0.042,"<a refstr=""TAKARADA ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180404008T target=ref>Takarada et al. 2018</a>","<a refstr=""TAKARADA ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180404008T target=ref>Takarada et al. 2018</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 217.157547,  49.844852)>",100670.76661302762
1,bd032562b,bd032562b,177.564804,177.564802922,2.7601419999999997,2.76013113422,9.58,9.58,6.4,6.4,,,481.9,481.9,1.3,1.3,0.2,0.2,"<a refstr=""VILLAVER ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...606A..38V target=ref>Villaver et al. 2017</a>","<a refstr=""VILLAVER ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...606A..38V target=ref>Villaver et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 177.564804,  2.760142)>",4049.5261609500726
2,bd152375b,bd152375b,176.482174,176.48333335200002,14.616381,14.616388914000002,10.31,10.3,1.061,1.06,,,153.22,153.22,0.576,0.5760000000000001,0.001,0.001,"<a refstr=""NIEDZIELSKI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A..62N target=ref>Niedzielski et al. 2016</a>","<a refstr=""NIEDZIELSKI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...588A..62N target=ref>Niedzielski et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 176.482174,  14.616381)>",1818.1834792511015
3,bd152940b,bd152940b,240.09556600000002,240.0958,15.54693,15.5469,9.046,9.19,1.11,1.11,,,137.48,137.48,0.539,0.539,0.26,0.26,"<a refstr=""NOWAK ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013ApJ...770...53N target=ref> Nowak et al. 2013 </a>","<a refstr=""NOWAK ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013ApJ...770...53N target=ref> Nowak et al. 2013 </a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 240.095566,  15.54693)>",40858.92303399751
4,bd20594b,bd20594b,53.650967,53.650000012,20.599232,20.599166691,11.038,11.0,0.07,0.0513,0.23,0.19899999999999998,41.6855,41.6855,,0.24100000000000002,0.0,0.0,"<a refstr=""STASSUN ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>","<a refstr=""ESPINOZA ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJ...830...43E target=ref>Espinoza et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 53.650967,  20.599232)>",108217.15156334564
5,bd49828b,bd49828b,45.640529,45.641666678,49.730011,49.730000025,9.38,9.38,1.6,1.6,,,2590.0,2590.0,4.2,4.2,0.35,0.35,"<a refstr=""NIEDZIELSKI ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...803....1N target=ref>Niedzielski et al. 2015</a>","<a refstr=""NIEDZIELSKI ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...803....1N target=ref>Niedzielski et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 45.640529,  49.730011)>",253924.37317280387
6,bd061339b,bd061339b,88.251183,88.25,-5.9948440000000005,-5.9947,9.7,6.69,0.027,0.027000000000000003,,,3.8728,3.8728,0.0428,0.0428,0.0,0.0,"<a refstr=""LO CURTO ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>","<a refstr=""LO CURTO ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 88.251183, -5.994844)>",46932.988382949625
7,bd061339c,bd061339c,88.251183,88.25,-5.9948440000000005,-5.9947,9.7,6.69,0.17,0.17,,,125.94,125.94,0.435,0.435,0.31,0.0,"<a refstr=""LO CURTO ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>","<a refstr=""LO CURTO ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 88.251183, -5.994844)>",46932.988382949625
8,bd114672b,bd114672b,278.370148,278.370833343,-11.636039,-11.636111126,9.99,10.02,0.53,0.53,,,1667.0,1667.0,2.28,2.28,0.05,0.05,"<a refstr=""MOUTOU ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>","<a refstr=""MOUTOU ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 278.370148, -11.636039)>",18123.399600284327
10,corot24b,corot24b,101.922547,101.92500001399999,-3.719301,-3.719444461,,,0.018,,0.33,0.33,5.1134,5.1134,0.056,0.055999999999999994,0.0,0.0,"<a refstr=""ALONSO ET AL. 2014"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...567A.112A target=ref> Alonso et al. 2014</a>","<a refstr=""ALONSO ET AL. 2014"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...567A.112A target=ref> Alonso et al. 2014</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 101.922547, -3.719301)>",2292.6947683096787
11,corot24c,corot24c,101.922547,101.92500001399999,-3.719301,-3.719444461,,,0.088,,0.44,0.44,11.759,11.759,0.098,0.098,0.0,0.0,"<a refstr=""ALONSO ET AL. 2014"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...567A.112A target=ref> Alonso et al. 2014</a>","<a refstr=""ALONSO ET AL. 2014"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...567A.112A target=ref> Alonso et al. 2014</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 101.922547, -3.719301)>",2292.6947683096787
12,epic211822797b,epic211822797b,130.41037,130.410354179,17.640005,17.6400055736,15.255999999999998,,,,0.177,0.2,21.169861,21.169619,0.131,,0.06,0.18,"<a refstr=""DRESSING ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>","<a refstr=""MANN ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153...64M target=ref>Mann et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 130.41037,  17.640005)>",5911.9588501167445
13,epic211945201b,epic211945201b,136.573975,136.575000006,19.402252,19.402222232,10.154,10.15,0.08495,,0.546,0.546,19.49213,19.49213,0.148,0.14800000000000002,0.0,0.0,"<a refstr=""CHAKRABORTY ET AL. 2018"" href=http://adsabs.harvard.edu/abs/2018arXiv180503466C target=ref>Chakraborty et al. 2018</a>","<a refstr=""CHAKRABORTY ET AL. 2018"" href=http://adsabs.harvard.edu/abs/2018arXiv180503466C target=ref>Chakraborty et al. 2018</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 136.573975,  19.402252)>",161804.41780624312
14,gj1132b,gj1132b,153.71573700000002,153.716666684,-47.156727000000004,-47.156666675,13.49,13.5,0.00513,0.0051,0.128,0.10300000000000001,1.6289287,1.62893,0.015330000000000002,0.0154,,0.0,"<a refstr=""SOUTHWORTH ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..191S target=ref>Southworth et al. 2017</a>","<a refstr=""BERTA-THOMPSON ET AL. 2015"" href=http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html target=ref>Berta-Thompson et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 153.715737, -47.156727)>",134511.0601368067
15,gj273b,gj273b,111.85208100000001,111.852041675,5.225785,5.2257777894,9.872,9.87,0.00909,0.00909,,,18.6498,18.6498,0.091101,0.091101,0.1,0.1,"<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 111.852081,  5.225785)>",68798.83479841145
16,gj273c,gj273c,111.85208100000001,111.852041675,5.225785,5.2257777894,9.872,9.87,0.00371,0.00371,,,4.7234,4.7234,0.036467,0.036467,0.17,0.17,"<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 111.852081,  5.225785)>",68798.83479841145
18,gj3138b,gj3138b,32.295425,32.2954166703,-16.339592,-16.339583345,10.98,10.98,0.0056,0.0132,,,1.22003,5.974,0.0197,0.057,0.19,0.11,"<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 32.295425, -16.339592)>",124151.71883207408
19,gj3138c,gj3138c,32.295425,32.2954166703,-16.339592,-16.339583345,10.98,10.98,0.01315,0.0056,,,5.974,1.22003,0.057,0.0197,0.11,0.19,"<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 32.295425, -16.339592)>",124151.71883207408
20,gj3138d,gj3138d,32.295425,32.2954166703,-16.339592,-16.339583345,10.98,10.98,0.03304,0.033,,,257.8,257.8,0.698,0.698,0.32,0.32,"<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 32.295425, -16.339592)>",124151.71883207408
22,gj3323b,gj3323b,75.48928000000001,75.4895833525,-6.946263,-6.9460833622,12.22,12.22,0.00636,0.00636,,,5.3636,5.3636,0.03282,0.03282,0.23,0.23,"<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 75.48928, -6.946263)>",3337.99022872053
23,gj3323c,gj3323c,75.48928000000001,75.4895833525,-6.946263,-6.9460833622,12.22,12.22,0.00727,0.00727,,,40.54,40.54,0.1264,0.1264,0.17,0.17,"<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<a refstr=""ASTUDILLO-DEFRU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...602A..88A target=ref>Astudillo-Defru et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 75.48928, -6.946263)>",3337.99022872053
24,gj3942b,gj3942b,242.263092,242.26250000099998,52.943874,52.943888916000006,10.25,10.0,0.02246,0.0225,,,6.905,6.905,0.0608,0.0608,0.121,0.121,"<a refstr=""PERGER ET AL. 2017"" href=http://adsabs.harvard.edu/abs/2017A&A...608A..63P target=ref>Perger et al. 2017</a>","<a refstr=""PERGER ET AL. 2017"" href=http://adsabs.harvard.edu/abs/2017A&A...608A..63P target=ref>Perger et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 242.263092,  52.943874)>",32861.64178556911
25,gj3998b,gj3998b,259.002655,259.004166667,11.057666000000001,11.058333340999999,10.83,10.8,0.00777,0.00777,,,2.64977,2.64977,0.029,0.028999999999999998,0.0,0.0,"<a refstr=""AFFER ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...593A.117A target=ref>Affer et al. 2016</a>","<a refstr=""AFFER ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...593A.117A target=ref>Affer et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 259.002655,  11.057666)>",21946.629996468248
26,gj3998c,gj3998c,259.002655,259.004166667,11.057666000000001,11.058333340999999,10.83,10.8,0.0197,0.0197,,,13.74,13.74,0.089,0.08900000000000001,0.049,0.049,"<a refstr=""AFFER ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...593A.117A target=ref>Affer et al. 2016</a>","<a refstr=""AFFER ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...593A.117A target=ref>Affer et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 259.002655,  11.057666)>",21946.629996468248
27,gj536b,gj536b,210.26328999999998,210.26250000099998,-2.654864,-2.655000017,9.72,,0.01686,0.0169,,,8.7076,8.7076,0.06661,0.06661,0.08,0.08,"<a refstr=""SU&AACUTE;REZ MASCARE&NTILDE;O ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...597A.108S target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2017</a>","<a refstr=""SU&AACUTE;REZ MASCARE&NTILDE;O ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017A&A...597A.108S target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 210.26329, -2.654864)>",166158.31256893798
28,gj625b,gj625b,246.3526,246.354166675,54.304104,54.303333341999995,10.1,10.17,0.008870000000000001,0.0095,,,14.628,14.638,0.078361,0.078399,0.13,0.13,"<a refstr=""SU&AACUTE;REZ MASCARE&NTILDE;O ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170506537S target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2017</a>","<a refstr=""SU&AACUTE;REZ MASCARE&NTILDE;O ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170506537S target=ref>Su&aacute;rez Mascare&ntilde;o et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 246.3526,  54.304104)>",47808.30200161091
29,gj9827b,gj9827b,351.77014199999996,352.104166695,-1.286273,-1.286388897,10.51,10.4,,,0.156,0.146,1.208957,1.2089819,0.02,0.0211,,0.0,"<a refstr=""NIRAULA ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901527N target=ref>Niraula et al. 2017</a>","<a refstr=""NIRAULA ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901527N target=ref>Niraula et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 351.770142, -1.286273)>",35754.74589450062
30,gj9827c,gj9827c,351.77014199999996,352.104166695,-1.286273,-1.286388897,10.51,10.4,,,0.121,0.115,3.64802,3.648086,0.042,0.044000000000000004,,,"<a refstr=""NIRAULA ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901527N target=ref>Niraula et al. 2017</a>","<a refstr=""NIRAULA ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901527N target=ref>Niraula et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 351.770142, -1.286273)>",35754.74589450062
31,gj9827d,gj9827d,351.77014199999996,352.104166695,-1.286273,-1.286388897,10.51,10.4,,,0.187,0.18600000000000003,6.20141,6.201472,0.06,0.0627,,0.0,"<a refstr=""NIRAULA ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901527N target=ref>Niraula et al. 2017</a>","<a refstr=""NIRAULA ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170901527N target=ref>Niraula et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 351.770142, -1.286273)>",35754.74589450062
32,hatp42b,hatp42b,135.344391,135.3458,6.097230000000001,6.0972,12.168,12.168,1.044,,1.28,1.2770000000000001,4.641878,4.641876,0.0575,0.0575,0.0,0.0,"<a refstr=""BOISSE ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...558A..86B target=ref> Boisse et al. 2013 </a>","<a refstr=""BOISSE ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...558A..86B target=ref> Boisse et al. 2013 </a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 135.344391,  6.09723)>",113845.18479987036
33,hatp43b,hatp43b,128.925737,128.925,10.206653,10.2067,13.356,13.36,0.662,,1.281,1.2830000000000001,3.332687,3.3326879999999997,0.0443,0.0443,0.0,0.0,"<a refstr=""BOISSE ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...558A..86B target=ref> Boisse et al. 2013 </a>","<a refstr=""BOISSE ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...558A..86B target=ref> Boisse et al. 2013 </a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 128.925737,  10.206653)>",10399.51423176876
34,hatp50b,hatp50b,118.06341100000002,118.062500005,12.13941,28.139444452,11.762,11.76,1.35,1.35,1.288,1.288,3.1220109,3.1220109000000003,0.0453,0.0453,0.115,0.115,"<a refstr=""HARTMAN ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015AJ....150..168H target=ref>Hartman et al. 2015</a>","<a refstr=""HARTMAN ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015AJ....150..168H target=ref>Hartman et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 118.063411,  12.13941)>",13147.298025576138
35,hatp51b,hatp51b,21.06519,21.066666672,32.810764,32.810833358000004,13.44,13.44,0.309,0.309,1.2930000000000001,1.2930000000000001,4.2180278,4.2180278,0.05069,0.05069,0.123,0.12300000000000001,"<a refstr=""HARTMAN ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015AJ....150..168H target=ref>Hartman et al. 2015</a>","<a refstr=""HARTMAN ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015AJ....150..168H target=ref>Hartman et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 21.06519,  32.810764)>",15294.753982685763
36,hatp52b,hatp52b,42.721678999999995,42.720833350999996,29.022396,29.022500005,14.068,14.07,0.818,0.818,1.0090000000000001,1.0090000000000001,2.7535953,2.7535952999999997,0.03694,0.03694,0.047,0.047,"<a refstr=""HARTMAN ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015AJ....150..168H target=ref>Hartman et al. 2015</a>","<a refstr=""HARTMAN ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015AJ....150..168H target=ref>Hartman et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 42.721679,  29.022396)>",74334.74629638705
37,hatp53b,hatp53b,21.871105,21.870833343,38.968146999999995,38.968055576,13.73,13.73,1.484,1.484,1.318,1.318,1.9616241,1.9616241,0.03159,0.03159,0.134,0.134,"<a refstr=""HARTMAN ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015AJ....150..168H target=ref>Hartman et al. 2015</a>","<a refstr=""HARTMAN ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015AJ....150..168H target=ref>Hartman et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 21.871105,  38.968147)>",37482.38719121149
38,hatp55b,hatp55b,264.27344700000003,264.273000002,25.731185999999997,25.7311944704,13.207,13.207,0.582,0.5820000000000001,1.182,1.182,3.5852467,3.5852467000000003,0.04604,0.04604,0.139,0.139,"<a refstr=""JUNCHER ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015PASP..127..851J target=ref>Juncher et al. 2015</a>","<a refstr=""JUNCHER ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015PASP..127..851J target=ref>Juncher et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 264.273447,  25.731186)>",72181.44373973439
39,hatp65b,hatp65b,315.905487,315.904166679,11.989403999999999,11.989444469,13.145,13.15,0.527,,1.89,1.89,2.6054552,2.6054552,0.03951,0.03951,0.304,0.3,"<a refstr=""HARTMAN ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152..182H target=ref>Hartman et al. 2016</a>","<a refstr=""HARTMAN ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152..182H target=ref>Hartman et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 315.905487,  11.989404)>",6172.334446049165
40,hatp66b,hatp66b,150.572632,150.573000006,53.950863,53.9508611308,12.993,13.0,0.783,,1.59,1.59,2.972086,2.972086,0.04363,0.04363,0.09,0.0,"<a refstr=""HARTMAN ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152..182H target=ref>Hartman et al. 2016</a>","<a refstr=""HARTMAN ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152..182H target=ref>Hartman et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 150.572632,  53.950863)>",207985.81800985683
41,hatp67b,hatp67b,256.610687,256.61250000900003,44.776981,44.776944468,10.068999999999999,10.69,0.34,,2.085,2.085,4.8101025,4.81010205,0.06505,0.06505,0.0,0.24,"<a refstr=""ZHOU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..211Z target=ref>Zhou et al. 2017</a>","<a refstr=""ZHOU ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..211Z target=ref>Zhou et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 256.610687,  44.776981)>",8631.0535358386
42,hats11b,hats11b,289.400757,289.400000012,-22.389927,-22.390000013,14.017999999999999,14.0,0.83,0.85,1.4869999999999999,1.51,3.6191634,3.6191612999999996,,0.04614,,0.34,"<a refstr=""BAYLISS ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..119B target=ref>Bayliss et al. 2018</a>","<a refstr=""RABUS ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...88R target=ref>Rabus et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 289.400757, -22.389927)>",4432.926275036986
43,hats12b,hats12b,289.20239300000003,289.204166683,-19.355907000000002,-19.355833345,12.755999999999998,12.76,2.39,2.38,1.3840000000000001,1.35,3.1428347,3.142833,,0.04795,,0.085,"<a refstr=""BAYLISS ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018AJ....155..119B target=ref>Bayliss et al. 2018</a>","<a refstr=""RABUS ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...88R target=ref>Rabus et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 289.202393, -19.355907)>",6177.149924998929
44,hats15b,hats15b,311.09196099999997,311.092500007,-19.43751,-19.4375277898,14.774000000000001,14.774000000000001,2.17,,1.105,1.105,1.74748753,1.74748753,0.02712,0.02712,0.126,0.0,"<a refstr=""CICERI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016PASP..128g4401C target=ref>Ciceri et al. 2016</a>","<a refstr=""CICERI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016PASP..128g4401C target=ref>Ciceri et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 311.091961, -19.43751)>",18537.743726977187
45,hats16b,hats16b,358.55871,358.558500005,-30.012999,-30.0130000104,13.834000000000001,13.834000000000001,3.27,,1.3,1.3,2.686502,2.686502,0.03744,0.03744,0.0,0.0,"<a refstr=""CICERI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016PASP..128g4401C target=ref>Ciceri et al. 2016</a>","<a refstr=""CICERI ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016PASP..128g4401C target=ref>Ciceri et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 358.55871, -30.012999)>",18518.647259680845
