,pl_name,# name,ra_x,ra_y,dec_x,dec_y,st_vj,mag_v,pl_bmassj,mass_sini,pl_radj,radius,pl_orbper,orbital_period,pl_orbsmax,semi_major_axis,pl_orbeccen,eccentricity,pl_def_reflink,pl_disc_reflink,checked_coords,min_distance
111,hd208897b,hd208897b,329.748718,329.748714103,19.020301999999997,19.0203037532,6.51,6.51,1.4,1.4,,,352.7,352.7,1.05,1.05,0.07,0.07,"<a refstr=""Y&#X131;LMAZ ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170801895Y target=ref>Y&#x131;lmaz et al. 2017</a>","<a refstr=""Y&#X131;LMAZ ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170801895Y target=ref>Y&#x131;lmaz et al. 2017</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 329.748718,  19.020302)>",3595.1708410196347
112,hd214823b,hd214823b,340.082794,340.082916673,31.787594,31.7875916857,8.068,8.078,19.2,19.2,,,1877.0,1877.0,3.18,3.18,0.154,0.154,"<a refstr=""D&IACUTE;AZ ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...591A.146D target=ref>D&iacute;az et al. 2016</a>","<a refstr=""D&IACUTE;AZ ET AL. 2016"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...591A.146D target=ref>D&iacute;az et al. 2016</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 340.082794,  31.787594)>",166597.0839595388
113,hd215152d,hd215152d,340.838745,340.8375,-6.400821,-6.4008332999999995,8.11,6.45,0.00881,0.008511,,,10.86499,10.8642,0.08799,0.08799,0.0,0.33299999999999996,"<a refstr=""DELISLE ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180204631D target=ref>Delisle et al. 2018</a>","<a refstr=""DELISLE ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180204631D target=ref>Delisle et al. 2018</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 340.838745, -6.400821)>",29178.4868152522
114,hd215152e,hd215152e,340.838745,340.8375,-6.400821,-6.4008332999999995,8.11,6.45,0.00905,0.01091,,,25.1967,25.1968,0.15417,0.15417,0.0,0.17300000000000001,"<a refstr=""DELISLE ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180204631D target=ref>Delisle et al. 2018</a>","<a refstr=""DELISLE ET AL. 2018"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180204631D target=ref>Delisle et al. 2018</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 340.838745, -6.400821)>",29178.4868152522
115,hd219077b,hd219077b,348.527435,348.5292,-62.700005000000004,-62.7,6.12,6.12,10.39,10.39,,,5501.0,5501.0,6.22,6.22,0.77,0.77,"<a refstr=""MARMIER ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...551A..90M target=ref> Marmier et al. 2013 </a>","<a refstr=""MARMIER ET AL. 2013"" href=http://adsabs.harvard.edu/abs/2013A%26A...551A..90M target=ref> Marmier et al. 2013 </a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 348.527435, -62.700005)>",144096.75017217323
116,hd219134b,hd219134b,348.32074,348.320833339,57.168354,57.168333338000004,5.57,5.57,0.01491,0.012,0.14300000000000002,0.1433,3.092926,3.0931,0.03876,0.038474,0.0,0.0,"<a refstr=""GILLON ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017NatAs...1E..56G target=ref>Gillon et al. 2017</a>","<a refstr=""MOTALEBI ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...584A..72M target=ref>Motalebi et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 348.32074,  57.168354)>",1455.3860017138152
117,hd219134c,hd219134c,348.32074,348.320833339,57.168354,57.168333338000004,5.57,5.57,0.01372,0.011000000000000001,0.135,,6.76458,6.7635,0.0653,0.064816,0.062,0.0,"<a refstr=""GILLON ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017NatAs...1E..56G target=ref>Gillon et al. 2017</a>","<a refstr=""MOTALEBI ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...584A..72M target=ref>Motalebi et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 348.32074,  57.168354)>",1455.3860017138152
118,hd219134d,hd219134d,348.32074,348.320833339,57.168354,57.168333338000004,5.57,5.57,0.05088,0.067,0.14400000000000002,,46.859,46.71,0.237,0.23508,0.138,0.0,"<a refstr=""GILLON ET AL. 2017"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017NatAs...1E..56G target=ref>Gillon et al. 2017</a>","<a refstr=""MOTALEBI ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...584A..72M target=ref>Motalebi et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 348.32074,  57.168354)>",1455.3860017138152
119,hd219134g,hd219134g,348.32074,348.320833339,57.168354,57.168333338000004,5.57,5.57,0.034,0.034,,,94.2,94.2,0.3753,0.3753,0.0,0.0,"<a refstr=""VOGT ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...814...12V target=ref>Vogt et al. 2015</a>","<a refstr=""VOGT ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...814...12V target=ref>Vogt et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 348.32074,  57.168354)>",1455.3860017138152
120,hd219134h,hd219134h,348.32074,348.320833339,57.168354,57.168333338000004,5.57,5.57,0.34,0.28,,,2247.0,2198.0,3.11,3.0639999999999996,0.06,0.37,"<a refstr=""VOGT ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...814...12V target=ref>Vogt et al. 2015</a>","<a refstr=""MOTALEBI ET AL. 2015"" href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...584A..72M target=ref>Motalebi et al. 2015</a>","<SkyCoord (ICRS): (ra, dec) in deg
    ( 348.32074,  57.168354)>",1455.3860017138152
